time_sec,calcium,oasis_predicted_event,oasis_activity_z,oasis_activity_raw
0,0.0705010311277587,0,-0.490953367101651,0
0.0999998051168947,0.389516830510354,0,-0.490953367101651,0
0.199999610233789,-0.0176068264661963,0,-0.490953367101651,0
0.299999415350684,0.0370416022607021,0,-0.490953367101651,0
0.399999220467579,-0.110884827462012,0,-0.490953367101651,0
0.499999025584474,0.126719863917587,0,-0.490953367101651,0
0.599998830701368,-0.240769429480281,0,-0.490953367101651,0
0.699998635818263,-0.308436438300564,0,-0.490953367101651,0
0.799998440935158,0.091719466300872,0,-0.490953367101651,0
0.899998246052052,0.716247186313257,1,1.57990772088246,0.383509881889794
0.999998051168947,0.565358352025411,0,-0.490953367101651,0
1.09999785628584,0.458134220342268,0,-0.490953367101651,0
1.19999766140274,0.226359916985223,0,-0.490953367101651,0
1.29999746651963,0.218111493573731,0,-0.490953367101651,0
1.39999727163653,0.332270925233925,0,-0.490953367101651,0
1.49999707675342,0.193050476106146,0,-0.490953367101651,0
1.59999688187032,-0.222260001497391,0,-0.490953367101651,0
1.69999668698721,-0.315223837718974,0,-0.490953367101651,0
1.7999964921041,0.140882103618436,0,-0.490953367101651,0
1.899996297221,0.615520757296151,1,2.0343844708923,0.467675993141419
1.99999610233789,0.843184590239215,0,-0.490953367101651,0
2.09999590745479,0.5203092230048,0,-0.490953367101651,0
2.19999571257168,0.49126914741206,0,-0.490953367101651,0
2.29999551768858,0.137087337734752,0,-0.490953367101651,0
2.39999532280547,0.28619935700163,0,-0.490953367101651,0
2.49999512792237,0.206439311499437,0,-0.490953367101651,0
2.59999493303926,-0.0431573566828376,0,-0.490953367101651,0
2.69999473815616,0.158974447237588,0,-0.490953367101651,0
2.79999454327305,0.796393092976383,1,2.60562801849525,0.573466548936147
2.89999434838995,0.833498554234847,0,0.444172230725568,0.173179123242859
2.99999415350684,0.751609380212368,0,-0.490953367101651,0
3.09999395862374,1.08320702183366,1,1.9920799227278,0.459841468477207
3.19999376374063,1.38445705330738,0,1.49606187584905,0.367982181691894
3.29999356885753,1.04762877758094,0,-0.490953367101651,0
3.39999337397442,0.709293826988496,0,-0.490953367101651,0
3.49999317909132,0.776429222113778,0,-0.490953367101651,0
3.59999298420821,0.855497596288587,0,-0.490953367101651,0
3.6999927893251,0.541731127578181,0,-0.490953367101651,0
3.799992594442,0.781217979833501,1,1.04719391612561,0.284854781589349
3.89999239955889,0.776230986838877,0,0.0947152811831412,0.108461989765283
3.99999220467579,0.787454173082554,1,1.06268501082827,0.28772363065616
4.09999200979268,0.909244487662566,0,-0.490953367101651,0
4.19999181490958,0.947680072328857,0,-0.490953367101651,0
4.29999162002647,0.691886276310673,0,-0.490953367101651,0
4.39999142514337,0.283204724663529,0,-0.490953367101651,0
4.49999123026026,0.194866258167026,0,-0.490953367101651,0
4.59999103537716,0.354794543777927,0,-0.490953367101651,0
