model,neuron_idx,target_fps,actual_fps,evaluation_mode,tolerance_sec,tolerance_bins,burst_gap_sec,n_true_events,n_predicted_events,n_matched_events,TP,FP,FN,precision,recall,F1,mean_abs_timing_error_sec,median_abs_timing_error_sec,mean_signed_timing_error_sec,median_signed_timing_error_sec,std_timing_error_sec
SimpleBaseline,1,20,20.000038976697,spike_bins,0.1,2,0.1,1517,744,600,600,144,917,0.806451612903226,0.3955174686882,0.530738611233967,0.0358332635002206,0.0499999025584474,0.0219999571257168,0,0.046038291595621
SimpleBaseline,1,20,20.000038976697,burst_onsets,0.1,2,0.1,914,744,500,500,244,414,0.672043010752688,0.547045951859956,0.60313630880579,0.0548998930091751,0.0499999025584474,0.0366999284779004,0.0499999025584474,0.0555361732175551
OASIS,1,20,20.000038976697,spike_bins,0.1,2,0.1,1517,976,660,660,316,857,0.676229508196721,0.43506921555702,0.529482551143201,0.0286363078289289,0,0.0130302776364439,0,0.0432541030773285
OASIS,1,20,20.000038976697,burst_onsets,0.1,2,0.1,914,976,577,577,399,337,0.591188524590164,0.63129102844639,0.610582010582011,0.0486134234580397,0.0499999025584474,0.029376025939885,0.0499999025584474,0.0529440397850257
