model,target_fps,optimization_mode,n_validation_recordings,mean_F1,median_F1,std_F1,mean_precision,mean_recall,mean_median_abs_timing_error_sec,median_median_abs_timing_error_sec,mean_signed_timing_error_sec,mean_timing_weighted_recall,median_timing_weighted_recall,smoothing_window_sec,derivative_weight,amplitude_weight,event_score_threshold,baseline_min_event_distance_sec,ar_model,method,optimize_b,optimize_pars,oasis_threshold_z,oasis_min_event_distance_sec,mlspike_use_autocalibration,mlspike_a,mlspike_tau,mlspike_sigma,mlspike_saturation,mlspike_drift_parameter,mlspike_amin,mlspike_amax,mlspike_taumin,mlspike_taumax
SimpleBaseline,10,spike_bins,14,0.389928859299771,0.426836015491569,0.11840631882319,0.565851949815683,0.413351819932446,0.00714284895184805,0,0.0164643303657321,0.278391904910164,0.293854375264389,0.1,0.5,0.5,0.6,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.416986451792877,0.453944345550535,0.10993301037493,0.599022407102392,0.431810749235414,0,0,0.0155620560643292,0.294362791091652,0.300997302016914,0.1,0.5,0.5,0.7,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.416986451792877,0.453944345550535,0.10993301037493,0.599022407102392,0.431810749235414,0,0,0.0155620560643292,0.294362791091652,0.300997302016914,0.1,0.5,0.5,0.7,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.416986451792877,0.453944345550535,0.10993301037493,0.599022407102392,0.431810749235414,0,0,0.0155620560643292,0.294362791091652,0.300997302016914,0.1,0.5,0.5,0.7,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.416986451792877,0.453944345550535,0.10993301037493,0.599022407102392,0.431810749235414,0,0,0.0155620560643292,0.294362791091652,0.300997302016914,0.1,0.5,0.5,0.7,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.388822511574873,0.420786920852962,0.121579716332652,0.596360378041664,0.391466347469342,0.00714284895184805,0,0.0165244695639669,0.267847418021926,0.280494700355476,0.1,0.5,0.5,0.7,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.412980949097874,0.445816479445176,0.108029798431531,0.628666137095721,0.406688614292884,0,0,0.0155077776533777,0.278358527251091,0.279011412963922,0.1,0.5,0.5,0.8,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.412980949097874,0.445816479445176,0.108029798431531,0.628666137095721,0.406688614292884,0,0,0.0155077776533777,0.278358527251091,0.279011412963922,0.1,0.5,0.5,0.8,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.412980949097874,0.445816479445176,0.108029798431531,0.628666137095721,0.406688614292884,0,0,0.0155077776533777,0.278358527251091,0.279011412963922,0.1,0.5,0.5,0.8,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.412980949097874,0.445816479445176,0.108029798431531,0.628666137095721,0.406688614292884,0,0,0.0155077776533777,0.278358527251091,0.279011412963922,0.1,0.5,0.5,0.8,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.385913237364214,0.410913324880458,0.121743117425628,0.626718322389719,0.370806032717861,0.00714284895184805,0,0.0163684577422706,0.254998949220108,0.261485028221704,0.1,0.5,0.5,0.8,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.40493185049498,0.442634179543624,0.104597521694172,0.654871289225063,0.378925907329141,0,0,0.0155224103024036,0.264584974375216,0.256156363666638,0.1,0.5,0.5,0.9,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.40493185049498,0.442634179543624,0.104597521694172,0.654871289225063,0.378925907329141,0,0,0.0155224103024036,0.264584974375216,0.256156363666638,0.1,0.5,0.5,0.9,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.40493185049498,0.442634179543624,0.104597521694172,0.654871289225063,0.378925907329141,0,0,0.0155224103024036,0.264584974375216,0.256156363666638,0.1,0.5,0.5,0.9,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.40493185049498,0.442634179543624,0.104597521694172,0.654871289225063,0.378925907329141,0,0,0.0155224103024036,0.264584974375216,0.256156363666638,0.1,0.5,0.5,0.9,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.380303062123515,0.402636373379059,0.11765778769256,0.653903552131662,0.348001464378828,0,0,0.0161352039830768,0.244073905708119,0.241010980618407,0.1,0.5,0.5,0.9,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
