model,target_fps,optimization_mode,n_validation_recordings,mean_F1,median_F1,std_F1,mean_precision,mean_recall,mean_median_abs_timing_error_sec,median_median_abs_timing_error_sec,mean_signed_timing_error_sec,mean_timing_weighted_recall,median_timing_weighted_recall,smoothing_window_sec,derivative_weight,amplitude_weight,event_score_threshold,baseline_min_event_distance_sec,ar_model,method,optimize_b,optimize_pars,oasis_threshold_z,oasis_min_event_distance_sec,mlspike_use_autocalibration,mlspike_a,mlspike_tau,mlspike_sigma,mlspike_saturation,mlspike_drift_parameter,mlspike_amin,mlspike_amax,mlspike_taumin,mlspike_taumax
SimpleBaseline,10,spike_bins,14,0.422141098620731,0.423648872120345,0.10842587568981,0.56155538790164,0.474235944421981,0,0,0.0126184841282645,0.319507419770667,0.31936559551106,0.1,0.7,0.3,0.7,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OASIS,10,spike_bins,14,0.393796738517671,0.450233766233766,0.159179223628022,0.653308228797634,0.409491945842626,0,0,0.0139836176047704,0.277372107842263,0.304929031706801,NaN,NaN,NaN,NaN,NaN,ar1,foopsi,1,1,0.75,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MLspike,10,spike_bins,14,0.518814336212367,0.532234148080297,0.101958233758738,0.585978009307695,0.580370557867357,0.0214286434031168,0,-0.0238282476274513,0.339062175638904,0.320873523455638,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,0,0.14,1.5,0.04,0.1,0.01,0.02,0.2,0.2,2
